Temp,Time,VOacac,DDT,OAm,Cu_precursor,CV,Squareness,Size,PhasePure,HasProduct,Polymorph
296,36,0.54,4.2,1.5,CuCl,0.287,0.774,4.97,0,1,cubic
303,34,0.106,4.9,2.3,CuCl,NaN,NaN,NaN,0,0,
290,54,0.579,3.8,5,CuCl,0.817,0.875,7.567,0,1,cubic
283,69,0.562,3.5,1.4,CuCl,0.289,0.821,5.044,0,1,cubic
298,11,0.47,3.4,1.4,CuCl,0.13,0.768,5.166,0,1,cubic
302,17,0.418,3.7,5.8,CuCl,0.463,0.718,4.978,0,1,cubic
